"","DrugName"
"69","ADALIMUMAB (homecare syringe pack)"
"70","Adalimumab (Homecare)"
"71","ADALIMUMAB (HOMECARE)"
"72","ADALIMUMAB (Homecare) (for HS)"
"73","ADALIMUMAB (HOMECARE) ^ 40 mg Injection"
"74","ADALIMUMAB (HOMECARE) HS DERMATOLOGY"
"75","adalimumab (HomeCare), injection,40mg/0.4ml, 1 Pre-filled pen"
"76","ADALIMUMAB (HUMIRA * HS * )"
"77","ADALIMUMAB (HUMIRA * HS * ) (HOMECARE)"
"78","ADALIMUMAB (Humira FOR HOMECARE THERAPY)"
"79","adalimumab (Humira)"
"80","Adalimumab (Humira)"
"81","ADALIMUMAB (Humira)"
"82","ADALIMUMAB (HUMIRA)"
"83","ADALIMUMAB (HUMIRA) - HOMECARE 40 mg Pen"
"84","ADALIMUMAB (HUMIRA) (HOME DELIVERY)"
"85","ADALIMUMAB (HUMIRA) (HOME DELIVERY) 40 mg in 0.4mL Pre-Filled Pen"
"86","ADALIMUMAB (HUMIRA) (HOME DELIVERY) 40 mg Pre-filled Syringe"
"87","ADALIMUMAB (HUMIRA) (HOMECARE)"
"88","ADALIMUMAB (HUMIRA) (Homecare) (Pre-Filled Pen)"
"89","ADALIMUMAB (HUMIRA) (Homecare) 40 mg Injection (Pre-filled syringe)"
"90","ADALIMUMAB (HUMIRA) (HOMECARE) HS DERMATOLOGY"
"91","ADALIMUMAB (Humira) (PEN) 40 mg Injection"
"92","Adalimumab (Humira) (Pre-filled pen)"
"93","ADALIMUMAB (Humira) (Pre-filled Pen)"
"94","ADALIMUMAB (HUMIRA) (Pre-Filled Pen)"
"95","Adalimumab (Humira) (Pre-filled pen) (Homecare)"
"96","ADALIMUMAB (HUMIRA) (PRE-FILLED PENS) 40 mg Injec"
"97","ADALIMUMAB (HUMIRA) (PRE-FILLED SYRINGE) 40 mg In"
"98","ADALIMUMAB (HUMIRA) (PRE-FILLED SYRINGE) 40 mg Inj"
"99","ADALIMUMAB (HUMIRA) **HOMECARE DELIVERY ONLY**"
"100","ADALIMUMAB (Humira) [HOMECARE]  (GASTRO) (SYRINGE) 40 mg Injection"
"101","ADALIMUMAB (Humira) [HOMECARE] (DERM H/S ONLY) (PEN) 40 mg Injection"
"102","ADALIMUMAB (Humira) [HOMECARE] (DERMATOLOGY) (PEN) 40 mg Injection"
"103","ADALIMUMAB (Humira) [HOMECARE] (GASTRO) (PEN) 40 mg Injection"
"104","ADALIMUMAB (HUMIRA) 20 mg prefilled syringe"
"105","ADALIMUMAB (HUMIRA) 40 mg in 0.4mL Pre-filled Injection Pen"
"106","ADALIMUMAB (HUMIRA) 40 mg in 0.4mL Pre-Filled Pen"
"107","ADALIMUMAB (HUMIRA) 40 mg in 0.4mL Pre-filled Syringe"
"108","ADALIMUMAB (HUMIRA) 40 mg in 0.4ml prefilled pen"
"109","ADALIMUMAB (HUMIRA) 40 mg in 0.4ml prefilled syringe"
"110","ADALIMUMAB (Humira) 40 mg injection"
"111","ADALIMUMAB (Humira) 40 mg Injection"
"112","ADALIMUMAB (HUMIRA) 40 mg Injection Pen"
"113","ADALIMUMAB (HUMIRA) 40 mg Pre-Filled Pen"
"114","ADALIMUMAB (HUMIRA) HOMECARE (HS INDICATION)"
"115","ADALIMUMAB (HUMIRA) Pen"
"116","ADALIMUMAB (Humira) Pre-Filled Pen"
"117","ADALIMUMAB (HUMIRA) PRE-FILLED PEN 40 mg Subcutaneous Injection"
"118","ADALIMUMAB (HUMIRA) pre-filled syringe"
"119","ADALIMUMAB (HUMIRA) PRE-FILLED SYRINGE 40 mg Injection"
"120","ADALIMUMAB (HUMIRA) PRE-FILLED SYRINGE 40 mg Subcutaneous Injection"
"121","ADALIMUMAB (HUMIRA) SYRINGE"
"122","ADALIMUMAB (HUMIRA)(HOME) 40mg in 0.4ml Injection"
"123","ADALIMUMAB (HUMIRA)_(HOMECARE) 20 mg in 0.2mL Pre-filled Syringe"
"124","ADALIMUMAB (HUMIRA)_(HOMECARE) 40 mg in 0.4mL Pre-filled Injection Pen"
"125","ADALIMUMAB (HUMIRA)_(HOMECARE) 40 mg in 0.4mL Pre-filled Syringe"
"126","ADALIMUMAB (HYRIMOZ )"
"127","ADALIMUMAB (HYRIMOZ ) (HOMECARE)"
"128","ADALIMUMAB (HYRIMOZ ) (HOMECARE) REFERENCE PRICE"
"129","ADALIMUMAB (HYRIMOZ ) (HOMECARE)REFERENCE PRICE"
"130","ADALIMUMAB (HYRIMOZ ) (REFERENCE PRICE)"
"131","ADALIMUMAB (HYRIMOZ ) REFERENCE COST CHARGE"
"132","Adalimumab (Hyrimoz)"
"133","ADALIMUMAB (HYRIMOZ) (HHOME) 40 mg Pre-Filled Pen"
"134","ADALIMUMAB (HYRIMOZ) (HOME DELIVERY)"
"135","Adalimumab (Hyrimoz) (Pre-filled pen) (Homecare)"
"136","Adalimumab (Hyrimoz) (Pre Filled Pen)"
"137","ADALIMUMAB (HYRIMOZ) 40 mg Pre-Filled Pen"
"138","ADALIMUMAB (HYRIMOZ) PRE-FILLED PEN 40 mg Subcutaneous Injection"
"139","ADALIMUMAB (HYRIMOZ) PRE-FILLED SYRINGE 40 mg Subcutaneous Injection"
"140","ADALIMUMAB (HYRIMOZ)(HOME) 40 mg in 0.8ml Pre-filled Pen"
"141","Adalimumab (Imraldi Biosimilar)"
"142","ADALIMUMAB (Imraldi FOR HOMECARE THERAPY)"
"143","ADALIMUMAB (IMRALDI)"
"144","ADALIMUMAB (IMRALDI) "
"145","ADALIMUMAB (IMRALDI) (HOME DELIVERY)"
"146","ADALIMUMAB (IMRALDI) (HOME DELIVERY) 40 mg in 0.8mL Pre-Filled Pen"
"147","ADALIMUMAB (IMRALDI) (HOME DELIVERY) 40 mg Pre-filled Syringe"
"148","ADALIMUMAB (IMRALDI) (HOMECARE)"
"149","ADALIMUMAB (IMRALDI) (PRE-FILLED PENS) 40 mg Injec"
"150","ADALIMUMAB (Imraldi) [HOMECARE] (RHEUMATOLOGY) (PEN) 40 mg in 0.8ml Injection"
"151","ADALIMUMAB (IMRALDI) 40 mg in 0.8mL Pre-Filled Pen"
"152","ADALIMUMAB (IMRALDI) PENS (HOME DELIVERY ONLY)"
"153","ADALIMUMAB (IMRALDI) PRE- FILLED SYRINGE (HOME DELIVERY)"
"154","ADALIMUMAB (Imraldi) Pre-Filled Pen"
"155","ADALIMUMAB (IMRALDI) PRE-FILLED PEN"
"156","ADALIMUMAB (Imraldi) Pre-Filled Syringe"
"157","adalimumab (imraldi)$ pen"
"158","adalimumab (imraldi)40mg/0.8ml"
"159","ADALIMUMAB (Pen)"
"160","ADALIMUMAB (PEN) (HHOME) 40 mg Injection Pen"
"161","ADALIMUMAB (PEN) (HUMIRA) (HHOME) 40 mg Injection Pen"
"162","ADALIMUMAB (Pen) 40 mg Injection 2 x 40mg prefilled pen Pack"
"163","Adalimumab (Pre-filled pen)"
"164","Adalimumab (Pre-filled pen) (Homecare)"
"165","ADALIMUMAB (PRE-FILLED PENS) 40 mg Injection"
"166","ADALIMUMAB (pre-filled syringe)"
"167","ADALIMUMAB (PRE-FILLED SYRINGE) 40 mg Injection"
"168","ADALIMUMAB **HOMECARE DELIVERY ONLY**"
"169","ADALIMUMAB [AMGEVITA] (HOMECARE) 20 mg/0.4mL Soln for Inject PF Syringes"
"170","ADALIMUMAB [AMGEVITA] (HOMECARE) 40 mg/0.8mL Soln for Inject PF Disp Device"
"171","ADALIMUMAB [AMGEVITA] (HOMECARE) 40 mg/0.8mL Soln for Injection PF Pen"
"172","ADALIMUMAB [AMGEVITA] 20 mg/0.2mL Soln for Inject PF Syringes"
"173","ADALIMUMAB [AMGEVITA] 20 mg/0.4mL Soln for Inject PF Syringes"
"174","ADALIMUMAB [AMGEVITA] 40 mg/0.8mL Soln for Inject PF Syringes"
"175","ADALIMUMAB [AMGEVITA] 40 mg/0.8mL Soln for Injection PF Pen"
"176","ADALIMUMAB [HUMIRA] (HOMECARE) 20 mg/0.2mL Soln for Inject PF Syringes"
"177","ADALIMUMAB [HUMIRA] (HOMECARE) 40 mg Solution for Injection"
"178","ADALIMUMAB [HUMIRA] (HOMECARE) 40 mg/0.4mL Soln for Inject PF Disp Device"
"179","ADALIMUMAB [HUMIRA] (HOMECARE) 40 mg/0.4mL Soln for Injection PF Pen"
"180","ADALIMUMAB [HUMIRA] 40 mg/0.4mL Soln for Injection PF Pen"
"181","ADALIMUMAB [IMRALDI] (HOMECARE) 40 mg/0.8mL Soln for Inject PF Disp Device"
"182","ADALIMUMAB [IMRALDI] (HOMECARE) 40 mg/0.8mL Soln for Inject PF Syringes"
"183","ADALIMUMAB [IMRALDI] (HOMECARE) 40 mg/0.8mL Soln for Injection PF Pen"
"184","ADALIMUMAB [IMRALDI] 40 mg/0.8mL Soln for Inject PF Disp Device"
"185","ADALIMUMAB [IMRALDI] 40 mg/0.8mL Soln for Injection PF Pen"
"186","ADALIMUMAB 20 mg prefilled syringe"
"187","ADALIMUMAB 20mg SYRINGE (HUMIRA)(HOMECARE)"
"188","ADALIMUMAB 20mg/0.2mL PRE-FILLED SYRINGE"
"189","ADALIMUMAB 40 mg/0.4mL Soln for Inject PF Syringes"
"190","ADALIMUMAB 40MG"
"191","ADALIMUMAB 40MG HOMECARE"
"192","ADALIMUMAB 40MG HOMECARE AMGEVITA"
"193","ADALIMUMAB 40mg/0.4mL PEN (Humira) VIA HOMECARE (1)"
"194","ADALIMUMAB 40mg/0.4mL PRE-FILLED PEN"
"195","ADALIMUMAB 40mg/0.4mL PRE-FILLED PEN (2)"
"196","ADALIMUMAB 40mg/0.4ml PRE-FILLED PEN HUMIRA (HOMEC"
"197","ADALIMUMAB 40mg/0.4mL PRE-FILLED SYRINGE"
"198","Adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices"
"199","ADALIMUMAB 40MG/0.4ML SOLUTION FOR INJECTION PRE-FILLED DISPOSABLE DEVICES"
"200","ADALIMUMAB 40MG/0.4ML SOLUTION FOR INJECTION PRE-FILLED DISPOSABLE DEVICES 2 PRE-FILLED DISPOSABLE INJECTION"
"201","Adalimumab 40mg/0.4ml solution for injection pre-filled syringes"
"202","ADALIMUMAB 40MG/0.4ML SOLUTION FOR INJECTION PRE-FILLED SYRINGES"
"203","ADALIMUMAB 40mg/0.4mL!PRE-FILLED PEN (HUMIRA)"
"204","ADALIMUMAB 40mg/0.4mL!PRE-FILLED SYRINGE (HUMIRA)"
"205","ADALIMUMAB 40mg/0.8mL"
"206","ADALIMUMAB 40mg/0.8mL PEN (AMGEVITA)(2x0.8mL)(HomeCare)"
"207","ADALIMUMAB 40MG/0.8ML PF PEN (HYRIMOZ) (2) VIA HOMECARE"
"208","ADALIMUMAB 40mg/0.8mL PRE-FILLED PEN"
"209","ADALIMUMAB 40mg/0.8mL PRE-FILLED PEN (AMGEVITA)(2)"
"210","ADALIMUMAB 40mg/0.8mL PRE-FILLED PEN (HOMECARE PATIENTS)"
"211","ADALIMUMAB 40mg/0.8mL PRE-FILLED PEN (HUMIRA)(HOMECARE)"
"212","ADALIMUMAB 40mg/0.8mL PRE-FILLED PEN (IMRALDI)(2)HOMECAR"
"213","Adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices"
"214","ADALIMUMAB 40MG/0.8ML SOLUTION FOR INJECTION PRE-FILLED DISPOSABLE DEVICES"
"215","Adalimumab 40mg/0.8ml solution for injection pre-filled syringes"
"216","ADALIMUMAB 40MG/0.8ML SOLUTION FOR INJECTION PRE-FILLED SYRINGES"
"217","Adalimumab 40mg/0.8ml solution for injection vials"
"218","ADALIMUMAB 40mg/0.8mL!PRE-FILLED PEN (AMGEVITA)"
"219","ADALIMUMAB 40mg/0.8mL!PRE-FILLED PEN (IMRALDI)"
"220","ADALIMUMAB á(IMRALDI) **HOMECARE DELIVERY ONLY**"
"221","ADALIMUMAB AMGEVITA (1 x 0.8ml"
"222","ADALIMUMAB AMGEVITA (1 x 0.8ml Prefilled )"
"223","ADALIMUMAB AMGEVITA (HOMECARE)"
"224","ADALIMUMAB AMGEVITA 40 mg Injection Pre Filled Pen"
"225","ADALIMUMAB FOR HIDRADENITIS SUPPURATIVA (HUMIRA)_(HOMECARE) 40 mg in 0.4mL Pre-filled Injection Pen"
"226","ADALIMUMAB HOMECARE (HS INDICATION)"
"227","adalimumab HS (humira)$pen*HC*"
"228","ADALIMUMAB HUMIRA ()"
"229","ADALIMUMAB HUMIRA (HOMECARE)"
"230","ADALIMUMAB HUMIRA (HOMECARE) PEN"
"231","ADALIMUMAB HUMIRA 40 mg Injection Pre Filled Pen"
"232","ADALIMUMAB HYRIMOZ (HOMECARE)"
"233","ADALIMUMAB HYRIMOZ PEN ()"
"234","ADALIMUMAB HYRIMOZ SYRINGE ()"
"235","ADALIMUMAB IMRALDI 40 mg Injection Pre Filled Pen"
"236","ADALIMUMAB IMRALDI 40 mg Injection Prefilled Syringe"
"237","ADALIMUMAB PEN"
"238","adalimumab pen $*homecare*"
"239","Adalimumab Pen (Amgevita)"
"240","Adalimumab Pen (Amgevita) 40 Mg In 0.8Ml Injection"
"241","Adalimumab Pen (Humira)"
"242","Adalimumab Pen (Humira) 40 Mg In 0.4Ml Injection"
"243","adalimumab pen *homecare* 40mg"
"244","ADALIMUMAB PEN 40 mg Injection"
"245","ADALIMUMAB PFS (AMGEVITA) 40 mg Subcutaneous Injection 2 Pre-Filled Syringe Pack"
"246","ADALIMUMAB PFS (FOR 'HS') "
"247","ADALIMUMAB PFS HOMECARE (AMGEVITA)"
"248","ADALIMUMAB PFS HOMECARE (AMGEVITA) 40 mg Subcutaneous Injection 1 Pre-Filled Syringe Pack"
"249","ADALIMUMAB PFS HOMECARE (HUMIRA)"
"250","ADALIMUMAB PFS HOMECARE (HUMIRA) 40 mg Subcutaneous Injection 1 Pre-Filled Syringe Pack"
"251","ADALIMUMAB PFS HOMECARE 40 mg Subcutaneous Injection 1 Pre-Filled Syringe Pack"
"252","ADALIMUMAB pre-filled pen"
"253","adalimumab pre-filled pen  40mg/0.4ml injection"
"254","ADALIMUMAB pre-filled pen 40 mg Injection"
"255","ADALIMUMAB pre-filled syringe 40 mg in 0.4ml Injection"
"256","ADALIMUMAB pre-filled syringe 40 mg Injection"
"257","ADALIMUMAB REF PRICE"
"258","ADALIMUMAB REFERENCE PRICE"
"259","ADALIMUMAB SUB-CUTANEOUS INJECTION 40mg"
"260","adalimumab syringe $*homecare*"
"261","Adalimumab Syringe (Amgevita)"
"262","Adalimumab Syringe (Amgevita) 20 Mg In 0.4Ml Injection"
"263","Adalimumab Syringe (Amgevita) 40 Mg In 0.8Ml Injection"
"264","Adalimumab Syringe (Homecare)"
"265","adalimumab syringe *homecare*"
"266","ADALIMUMAB!20mg/0.2mL!PRE-FILLED SYRINGE"
"267","ADALIMUMAB!40mg!PRELOADED PEN (1)"
"268","ADALIMUMAB!40mg/0.4mL!INJECTION (1 PFP)"
"269","ADALIMUMAB!40mg/0.4mL!PRE-FILLED PEN"
"270","ADALIMUMAB!40mg/0.4mL!PRE-FILLED PEN (2)"
"271","ADALIMUMAB!40mg/0.4mL!PRE-FILLED PEN (HUMIRA)"
"272","ADALIMUMAB!40mg/0.4mL!PRE-FILLED SYRINGE"
"273","ADALIMUMAB!40mg/0.8mL!INJECTION (1 Vial)"
"274","ADALIMUMAB!40mg/0.8mL!PEN (AMGEVITA)(2x0.8mL)(HomeCare)"
"275","ADALIMUMAB!40mg/0.8mL!PRE-FILLED PEN"
"276","ADALIMUMAB!40mg/0.8mL!PRE-FILLED PEN (HUMIRA)(HOMECARE)"
"277","ADALIMUMAB!40mg/0.8mL!PRE-FILLED PEN (IMRALDI)"
"278","ADALIMUMAB!40mg/0.8mL!PRE-FILLED PEN (IMRALDI)(2)HOMECAR"
"279","ADALIMUMAB(AMGEVITA)"
"280","ADALIMUMAB(Humira)"
"281","ADALIMUMAB(HUMIRA)"
"282","ADALIMUMAB_HC"
"283","AMGEVITA (HOMECARE PEN PACK) ADALIMUMAB"
"284","H ADALIMUMAB"
"285","H ADALIMUMAB (AMGEVITA) PRE-FILLED PEN"
"286","H ADALIMUMAB (AMGEVITA) PRE-FILLED SYRINGE"
"287","H ADALIMUMAB (HUMIRA)"
"288","H ADALIMUMAB (HUMIRA) pre-filled syringe"
"289","H ADALIMUMAB (pre-filled syringe)"
"290","HC - ADALIMUMAB (Amgevita)"
"291","HC - ADALIMUMAB (AMGEVITA)"
"292","HC - ADALIMUMAB (Humira)"
"293","HC - ADALIMUMAB (Imraldi)"
"294","HC - ADALIMUMAB (IMRALDI)"
"295","HC ADALIMUMAB (AMGEVITA) 40 MG PENSET"
"296","HC ADALIMUMAB (AMGEVITA) 40MG/0.8ML PREFILLED SYRINGE"
"297","HC ADALIMUMAB (HYRIMOZ) 40MG PEN"
"298","HC ADALIMUMAB 40 mg Injection Pre Filled Pen"
"299","HC ADALIMUMAB 40 mg Injection Vial"
"300","HC ADALIMUMAB AMGEVITA 40 mg Injection Pre Filled Pen"
"301","HC ADALIMUMAB AMGEVITA 40 mg Injection Prefilled Syringe"
"302","HC ADALIMUMAB AMGEVITA 40 mg SURECLICK DEVICE"
"303","HC ADALIMUMAB HUMIRA 40 mg Injection Pre Filled Pen"
"304","HC ADALIMUMAB HUMIRA 40 mg Injection Prefilled Syringe"
"305","HC ADALIMUMAB HYRIMOZ 40 mg Injection Pre Filled Pen"
"306","HC ADALIMUMAB IMRALDI 40 mg Injection Pre Filled Pen"
"307","HC ADALIMUMAB IMRALDI 40 mg Injection Prefilled Syringe"
"308","HD_ADALIMUMAB 40mg/0.4mL PRE-FILLED PEN (2)"
"309","HOME-ADALIMUMAB 40mg-0.8mL PF PEN(AMGEVITA)(0.8mL)"
"310","HOME-ADALIMUMAB 40mg/0.8mL PF PEN(AMGEVITA)(0.8mL)"
"311","HOME - ADALIMUMAB 40mg-0.8mL PF  PEN (AMGEVITA)(0.8mL)"
"312","HOME - ADALIMUMAB 40mg  -0.8mL PF  PEN (AMGEVITA)(0.8mL)"
"313","HOME - ADALIMUMAB 40mg/0.8mL PF  PEN (AMGEVITA)(0.8mL)"
"314","HOME - ADALIMUMAB 40mg/0.8mL PF PEN AMGEVITA0.8mL"
"315","HOME - ADALIMUMAB 40mg/0.8mL PF PEN(AMGEVITA)0.8mL"
"316","HOME Adalimumab 40mg-0.4ml PEN (DERM - HS ONLY)"
"317","HOME ADALIMUMAB 40mg-0.8mL PF SYRINGE (AMGEVITA)"
"318","HOME ADALIMUMAB 40mg-0.8mL PF SYRINGE (AMGEVITA) "
"319","HOME ADALIMUMAB 40mg  -0.8mL PF SYRINGE (AMGEVITA)"
"320","HOME ADALIMUMAB 40mg  -0.8mL PF SYRINGE (AMGEVITA) "
"321","HOME Adalimumab 40mg/0.4ml PEN (DERM - HS ONLY)"
"322","HOME ADALIMUMAB 40mg/0.8mL PF SYRINGE (AMGEVITA)"
"323","HOME ADALIMUMAB 40mg/0.8mL PF SYRINGE (AMGEVITA) "
"324","HOME Adalimumab Inj 40mg/0.4ml PEN (Humira)"
"325","HOME Adalimumab INJ 40mg/0.4ml PEN (Humira)"
"326","HOME Adalimumab INJ 40mg/0.4ml PFS (Humira)"
"327","HOME Adalimumab Inj40mg/0.4ml PEN (Humira)"
"328","HOME Adalimumab Injection 40mg-0.4ml PEN (Humira)"
"329","HOME Adalimumab Injection 40mg-0.4ml PFS (Humira)"
"330","HOME Adalimumab Injection 40mg  -0.4ml PEN (Humira)       "
"331","HOME Adalimumab Injection 40mg  -0.4ml PFS (Humira)"
"332","HOME Adalimumab Injection 40mg/0.4ml PEN (Humira)"
"333","HOME Adalimumab Injection 40mg/0.4ml PFS (Humira)"
"334","HOMECARE - ADALIMUMAB  Pre-filled syringe 40 mg Injection"
"335","HOMECARE - ADALIMUMAB (AMGEVITA)"
"336","HomeCare - ADALIMUMAB (AMGEVITA) (HOMECARE) 20 mg"
"337","HomeCare - ADALIMUMAB (AMGEVITA) (HOMECARE) 40 mg"
"338","HOMECARE - ADALIMUMAB (AMGEVITA) 20 mg prefilled syringe"
"339","HOMECARE - ADALIMUMAB (AMGEVITA) 40 mg in 0.8ml Auto Injector Pen"
"340","HOMECARE - ADALIMUMAB (AMGEVITA) 40 mg in 0.8ml Prefilled Syringe"
"341","HOMECARE - ADALIMUMAB (AMGEVITA) 40 mg prefilled pen"
"342","HOMECARE - ADALIMUMAB (AMGEVITA) 40 mg prefilled syringe"
"343","HomeCare - ADALIMUMAB (Homecare) (AMGEVITA) 20 mg"
"344","HomeCare - ADALIMUMAB (Homecare) (AMGEVITA) 40 mg"
"345","HomeCare - ADALIMUMAB (Homecare) (HUMIRA) 20 mg P"
"346","HomeCare - ADALIMUMAB (Homecare) (HUMIRA) 20 mg Pr"
"347","HomeCare - ADALIMUMAB (HOMECARE) 20 mg Pre-Filled"
"348","HOMECARE - ADALIMUMAB (HUMIRA)"
"349","HomeCare - ADALIMUMAB (HUMIRA) (HOMECARE) 20 mg Pr"
"350","HomeCare - ADALIMUMAB (HUMIRA) (HOMECARE) 40 mg Pr"
"351","HomeCare - ADALIMUMAB (HUMIRA) (PRE-FILLED PENS)"
"352","HomeCare - ADALIMUMAB (HUMIRA) (PRE-FILLED PENS) 4"
"353","HomeCare - ADALIMUMAB (HUMIRA) (PRE-FILLED SYRING"
"354","HomeCare - ADALIMUMAB (HUMIRA) (PRE-FILLED SYRINGE"
"355","HOMECARE - ADALIMUMAB (HUMIRA) 40 mg in 0.4ml Auto Injector Pen"
"356","HOMECARE - ADALIMUMAB (HUMIRA) 40 mg in 0.4ml Prefilled Syringe"
"357","HOMECARE - ADALIMUMAB (HUMIRA) 40 mg Injection"
"358","HOMECARE - ADALIMUMAB (HUMIRA) AUTO INJECTOR PEN 40 mg"
"359","HOMECARE - ADALIMUMAB (HUMIRA) PREFILLED SYRINGE"
"360","HOMECARE - ADALIMUMAB (HUMIRA) PREFILLED SYRINGE 40 mg"
"361","HomeCare - ADALIMUMAB (PRE-FILLED PENS) 40 mg Inj"
"362","HomeCare - ADALIMUMAB (PRE-FILLED PENS) 40 mg Inje"
"363","HomeCare - ADALIMUMAB (PRE-FILLED SYRINGE) 40 mg"
"364","HomeCare - ADALIMUMAB (PRE-FILLED SYRINGE) 40 mg I"
"365","HOMECARE - ADALIMUMAB 20 mg prefilled syringe"
"366","HOMECARE - ADALIMUMAB 40 mg in 0.8ml Auto Injector Pen"
"367","HOMECARE - ADALIMUMAB 40 mg in 0.8ml Prefilled Syringe"
"368","HOMECARE - ADALIMUMAB Auto Injector Pen 40 mg Injection"
"369","HOMECARE ADALIMUMAB"
"370","HOMECARE ADALIMUMAB (AMGEVITA)"
"371","HOMECARE ADALIMUMAB (AMGEVITA) REFERENCE PRICE^"
"372","HOMECARE ADALIMUMAB (HUMIRA)"
"373","HOMECARE ADALIMUMAB (HUMIRA) 20 mg syringe 2 Syringe Box"
"374","HOMECARE ADALIMUMAB (HUMIRA) 40 mg Pre-filled pen 2 x 40mg prefilled pen Pack"
"375","HOMECARE ADALIMUMAB (HUMIRA) 40 mg Pre-filled syringe 2 x 40mg prefilled syringe Pack"
"376","HOMECARE ADALIMUMAB (IMRALDI)"
"377","HOMECARE ADALIMUMAB 40MG INJECTION (AMGEVITA) (1)"
"378","HOMECARE ADALIMUMAB 40MG INJECTION (AMGEVITA) (1)G"
